codigo	descricao
1817	Cobrança de procedimento incluso no procedimento principal.
1818	Cobrança de procedimento que exige autorização prévia.
1819	Cobrança de procedimento com história clínica/hipótese diagnóstica não compatível.
1820	Cobrança de procedimento em quantidade acima da máxima permitida/autorizada.
1821	Cobrança de procedimento não compatível com a idade.
1822	Cobrança de procedimento com ausência de resultado ou laudo técnico.
1823	Procedimento realizado pelo mesmo profissional, na mesma especialidade, no prazo inferior ao estipulado sem justificativa adequada.
1824	Procedimento cobrado não corresponde ao exame executado.
1825	Cobrança de procedimento ambulatorial com data de autorização posterior à do atendimento.
1826	Vias de acesso dos procedimentos cobrados não estão previstas na listagem de procedimentos múltiplos.
1827	Cobrança de outro procedimento em outra guia, na mesma data, pelo mesmo profissional com mesmo grau de participação - liberado valor referente à via de acesso do procedimento secundário.
1828	Adicional de urgência não previsto para procedimento cirúrgico eletivo.
1829	Adicional de vídeo não previsto para o procedimento.
1830	Cobrança de procedimento sem informação das datas de atendimento- visita, plantão, intensivista, avaliação enteral/parenteral.
1831	Laudo do exame enviado não justifica a cobrança do procedimento.
1832	Procedimento não permite cobrança de auxiliar de anestesista.
1833	Procedimento cobrado não permite acréscimo de acomodação.
1834	Porte anestésico cobrado incompatível com o porte do procedimento realizado.
1835	"Analgesia por dia subsequente" não justificada em relatório médico, para o procedimento realizado e/ou data do atendimento.
1836	"Analgesia por dia subsequente" incompatível com a via de administração do medicamento - vo ou iv periférica - sendo liberada visita hospitalar.
1837	Não cabe pagamento do honorário integral por ser via de acesso cirúrgico diferente.
1838	Grau de participação informado incompatível com evento cobrado.
1839	Necessário envio do resultado do exame anátomo patológico.
1840	Procedimento executado antes da autorização.
1901	Acomodação inválida.
1902	Acomodação informada não está de acordo com acomodação contratada.
1903	Permanência hospitalar incompatível com a evolução clínica.
1904	Permanência hospitalar incompatível com o procedimento autorizado
1905	Quantidade de diárias deve ser maior que zero.
1906	Acomodação não informada.
1907	Quantidade UTI não prevista para procedimento.
1908	Usuário não possui cobertura de UTI.
1909	Acomodação não autorizada.
1910	Cobrança de diárias em locais de acomodações diferentes, no mesmo dia.
1911	Permanência hospitalar para investigação injustificada.
1912	Evolução clínica não compatível com a permanência em UTI.
1913	Código de diária incompatível com o local de atendimento.
1914	Cobrança de diária em quantidade incompatível com a permanência hospitalar.
1915	Mudança de acomodação sem comunicação ao paciente, familiar ou acompanhante, ou sem solicitação destes.
1916	Cobrança de diárias de UTI incompatível com diagnóstico e evolução clínica.
1917	Falta prorrogação para quantidade de diárias cobradas.
1918	Plano do beneficiário não contempla diária de acompanhante.
2001	Material inválido.
2002	Material sem cobertura para atendimento ambulatorial.
2003	Material não especificado.
2004	Material sem nota fiscal do fornecedor.
2005	Quantidade de material deve ser maior que zero.
2006	Material informado não coberto.
2007	Cobrança de material em quantidade incompatível com a permanência.
2008	Cobrança de material em quantidades incompatíveis com o procedimento realizado.
2009	Quantidade de material superior à quantidade coberta.
2010	Cobrança de materiais inclusos nas taxas.
2011	Cobrança de material incluso no pacote negociado.
2012	Cobrança de material incompatível com o relatório técnico.
2013	Cobrança de material em permanência hospitalar não autorizada.
2014	Cobrança de material não utilizado.
2015	Material não autorizado.
2101	Medicamento inválido.
2102	Medicamento sem cobertura para atendimento ambulatorial.
2103	Medicamento não especificado.
2104	Medicamento sem nota fiscal do fornecedor.
2105	Quantidade de medicamentos deve ser maior que zero.
2106	Medicamento informado não coberto.
2107	Cobrança de medicamento em quantidade incompatível com a permanência.
2108	Cobrança de medicamento em quantidades incompatíveis com o procedimento realizado.
2109	Quantidade de medicamento superior à quantidade coberta.
2110	Cobrança de medicamentos inclusos nas taxas.
2111	Cobrança de medicamento incluso no pacote negociado.
2112	Cobrança de medicamento incompatível com o relatório técnico.
2113	Cobrança de medicamento em permanência hospitalar não autorizada.
2114	Cobrança de medicamento não utilizado.
2115	Medicamento não autorizado.
2201	OPME inválido.
2202	OPME sem cobertura para atendimento ambulatorial.
2203	OPME sem nota fiscal do fornecedor.
2204	Quantidade de OPME deve ser maior que zero.
2205	OPME informado não coberto.
2206	OPME informado não autorizado.
2207	Cobrança de OPME não utilizado.
2208	Cobrança de OPME no item material e medicamentos.
2209	Cobrança de OPME em desacordo com relatório técnico.
2210	Cobrança de OPME em quantidade incompatível com o procedimento realizado.
2211	Cobrança de OPME inclusa no pacote.
2212	OPME em desacordo com os critérios técnicos adotados pela operadora.
2213	OPME pago a fornecedor terceirizado.
2301	Gases medicinais inválidos.
2302	Cobrança de oxigenoterapia sem prescrição médica.
2303	Cobrança de oxigenoterapia com quantitativo de uso em divergência/pago valor corrigido.
2304	Cobrança de oxigênio incluso na taxa de nebulização especificada.
2305	Cobrança de oxigenoterapia em uso prolongado sem justificativa de uso.
2306	Cobrança de oxigenoterapia sem registro de controle de uso (entrada e saída).
2307	Cobrança de gases em quantidade superior ao período de permanência.
2308	Cobrança de co2 nas cirurgias videolaparoscópicas durante toda a realização do procedimento (início ao fim).
2309	Cobrança de ar comprimido sem registro no boletim anestésico e duração de uso.
2310	Cobrança de gases incompatível com o utilizado/ prescrito.
2401	Taxa / aluguel inválido.
2402	Cobrança de taxa por uso de equipamento incompatível com o procedimento realizado/uso previsto no procedimento.
2403	Cobrança de taxa de uso de bomba de infusão em paciente internado na UTI.
2404	Cobrança de outras taxas associadas/inclusas na cobrança da taxa de sala prevista.
2405	Cobrança de mais de uma taxa de sala de cirurgia, por conta do número de procedimentos realizados no mesmo tempo cirúrgico.
2406	Cobrança indevida de taxa de sala por administração de medicamentos.
2407	Cobrança de taxas, de serviços realizados em ambientes incompatíveis com o uso de equipamentos.
2408	Cobrança de taxas em quantidade superior ao tempo de permanência hospitalar.
2409	Cobrança de taxa de observação em pronto socorro com permanência menor que o período estipulado.
2410	Cobrança de taxa de observação em pronto socorro sem o registro da permanência.
2411	Cobrança de taxa de sala de pronto socorro, para aplicação de medicamentos.
2412	Cobrança de taxa de recuperação anestésica não justificada para o procedimento.
2413	Cobrança de taxa inclusa no pacote negociado.
2414	Cobrança de taxa de equipamento em concomitância com a cobrança de taxa para o procedimento.
2415	Taxa exige informação do valor na guia.
2416	Cobrança de taxa de recuperação anestésica para pacientes com pós- operatório imediato realizado na UTI/CTI.
2417	Cobrança de taxa de recuperação anestésica sem a presença do anestesista.
2418	Cobrança de taxa de sala incompatível com o procedimento.
2419	Cobrança de taxa de observação para atendimento que gerou uma internação.
2420	Cobrança de taxa de sala cirúrgica com porte anestésico diferente do procedimento autorizado/realizado.
2421	Cobrança de taxa em quantidade incorreta.
2422	Cobrança de taxa por uso de equipamento de uso obrigatório na sala de cirurgia, cuja taxa de sala cirúrgica já inclui seu uso.
2423	Cobrança de taxa de equipamentos de uso obrigatório no local de atendimento.
2424	Cobrança de taxa de observação para atendimento que gerou uma internação.
2501	Procedimento em série inválido.
2502	Cobrança de duas avaliações fisioterápicas.
2503	Cobrança de psicoterapia individual, quando o aplicado é a cobrança de psicoterapia em grupo.
2504	Quantidade de sessões cobradas não condizem com as assinaturas no controle de tratamento seriado.
2505	O código cobrado é diferente do código autorizado.
2506	A quantidade de sessões cobradas é diferente da quantidade autorizada.
2507	O código autorizado está incompatível com a prescrição médica solicitada.
2508	Cobrança de sessões sem o devido plano de tratamento e, ou, com o prazo de pagamento expirado.
2509	Cobrança do procedimento seriado incompatível com o quadro clínico.
2510	Cobrança do procedimento seriado em número de sessões acima da quantidade estabelecida.
2511	Ausência de evolução no prontuário médico do tratamento seriado realizado.
2512	Cobrança de sessões de fisioterapia em desacordo com as evoluções do prontuário médico.
2513	Cobrança de tratamento seriado sem justificativa clínica/técnica.
2514	Serviço não contratado para o prestador.
2515	Local de atendimento inadequado.
2516	Quantidade cobrada diferente da realizada.
2601	Codificação incorreta/inadequada do procedimento.
2602	Cobrança de honorário incluso no procedimento principal.
2603	Cobrança de honorário sem registro da efetiva participação do profissional.
2604	Procedimento principal não requer equipe médica.
2605	Não cabe pagamento do honorário integral por ser a mesma via de acesso cirúrgico.
2606	Cobrança do honorário em local de atendimento incorreto (inexistente).
2607	Cobrança de honorários em duplicidade.
2608	Cobrança de consulta indevida, quando o procedimento principal já está sendo remunerado.
2609	Local de atendimento não informado.
2610	Grau de participação de auxiliar incompatível com procedimento cobrado.
2611	Cobrança de especialista não justificada no evento.
2612	Cobrança indevida de equipe "stand-by", já que angioplastia seguida de cirurgia cardíaca.
2613	Honorário médico do anestesista já liberado no procedimento cirúrgico, pois "analgesia por dia subsequente" cobrada na mesma data do evento cirúrgico.
2614	Cobrança de cada participante da equipe deve ser feita em guias diferentes.
2701	Procedimento inválido.
2702	Cobrança de exame não solicitado pelo médico.
2703	Exame sem registro de execução.
2704	Cobrança de exame não correlacionado ao relatório específico.
2705	Cobrança de procedimento/exame sem justificativa para realização ou com justificativa insuficiente.
2706	Cobrança de procedimento/exame com data de autorização posterior à do atendimento.
2707	Exame não autorizado.
2708	Cobrança de exame em quantidade incompatível com o procedimento/evolução clínica.
2709	Cobrança de procedimento incluso no procedimento principal.
2710	Cobrança de exame que exige autorização prévia.
2711	Cobrança de exame com história clínica/hipótese diagnóstica não compatível.
2712	Cobrança de exame em quantidade acima da máxima permitida/autorizada.
2713	Cobrança de exame não compatível com a idade.
2714	Cobrança de exame com ausência de resultado ou laudo técnico.
2715	Exame realizado pelo mesmo profissional, na mesma especialidade, no prazo inferior ao estipulado sem justificativa adequada.
2716	Exame cobrado não corresponde ao exame executado.
2717	Cobrança de exame ambulatorial com data de autorização posterior à do atendimento.
2718	Exames não justificam caráter de urgência.
2801	Pacote inválido.
2802	Pacote incompatível com o sexo do beneficiário.
2803	Idade do beneficiário incompatível com o pacote.
2804	Valor total do pacote diferente do valor processado.
2805	Valor do pacote superior ao valor dos itens.
2806	Cobrança de pacote não executado.
2807	Cobrança de pacote não solicitado pelo médico.
2808	Pacote sem registro de execução.
2809	Cobrança de pacote não correlacionado ao relatório específico.
2810	Cobrança de pacote sem justificativa para realização ou com justificativa insuficiente.
2811	Cobrança de pacote com data de autorização posterior à do atendimento.
2812	Pacote não autorizado.
2813	Cobrança de pacote em quantidade incompatível com o procedimento/evolução clínica.
2814	Itens de composição do pacote não realizados.
2815	Cobrança do pacote exige autorização prévia.
2816	Cobrança de pacote com história clínica/hipótese diagnóstica não compatível.
2817	Cobrança de pacote em quantidade acima da máxima permitida/autorizada.
2818	Cobrança de pacote não compatível com a idade.
2819	Cobrança de pacote com ausência de resultado ou laudo técnico.
2820	Pacote realizado pelo mesmo profissional, na mesma especialidade, no prazo inferior ao estipulado sem justificativa adequada.
2821	Pacote cobrado não corresponde ao exame executado.
2822	Cobrança de pacote ambulatorial com data de autorização posterior à do atendimento.
2901	Revisão de glosa inválida.
2902	Glosa mantida.
2903	Pedido de revisão sem justificativa.
2904	Mais de um recurso de glosa para a mesma guia/protocolo.
2905	A guia não é de revisão.
2906	Número da guia inválido.
2907	Prazo de 180 dias ultrapassado para solicitação de reanálise.
2908	Solicitação de reanálise efetuada de forma incorreta.
2909	Prazo para solicitação de recurso de glosa prescrito.
3001	Procedimento odontológico inválido.
3002	Cobrança de procedimento odontológico que exige autorização prévia.
3003	Idade do beneficiário incompatível com o procedimento odontológico.
3004	Cobrança de procedimento odontológico em quantidade acima da máxima permitida/autorizada.
3005	Valor total do procedimento diferente do valor processado.
3006	Quantidade de procedimento deve ser maior que zero.
3007	Procedimentos odontológicos duplicados.
3008	Cobrança de procedimento odontológico incluso no procedimento principal.
3009	Cobrança de procedimento odontológico não executado.
3010	Cobrança de procedimento não solicitado pelo cirurgião-dentista.
3011	Procedimento odontológico sem registro de execução.
3012	Cobrança de procedimento odontológico não correlacionado ao relatório específico.
3013	Cobrança de procedimento odontológico sem justificativa para realização ou com justificativa insuficiente.
3014	Cobrança de procedimento odontológico com data de autorização posterior à do atendimento.
3015	Cobrança de procedimento odontológico com ausência de resultado ou laudo técnico.
3016	Procedimento odontológico realizado pelo mesmo profissional, na mesma especialidade, no prazo inferior ao estipulado sem justificativa adequada.
3017	Procedimento cobrado não corresponde a perícia (especificar).
3018	Evento glosado por auditoria (especificar)
3019	Evento sob análise técnica, aguardando liberação de confirmação para posterior pagamento.
3020	Conforme documentação radiográfica enviada, evento realizado inadequadamente.
3021	Falha em informação de dados de arcadas/hemi-arcos.
3022	Falha em informação de dados de dente inicial e/ou final.
3023	Falha em informação de dados de faces dos dentes.
3024	Evento só possível em dentes decíduos.
3025	Evento só possível em dentes permanentes.
3026	Erro nas informações de ordem dos dentes inicial e final.
3027	Desacordo entre o tipo de dente e o número de canais solicitados.
3028	Evento restrito à especialistas.
3029	Evento não indicado pela auditoria inicial.
3030	Auditoria final consta que a restauração foi realizada em outro material.
3031	Radiografia fora dos padrões técnicos.
3032	Intervalo da última MPP inferior a três meses.
3033	Intervalo da última MPP inferior a quatro meses.
3034	Justificativa tecnicamente não satisfatória.
3035	Paciente em tratamento com o mesmo profissional.
3036	Paciente em tratamento com outro profissional.
3037	Procedimento cobrado não é igual ao executado.
3038	Radiografia inicial incongruente com a radiografia final.
3039	Radiografia não corresponde ao procedimento cobrado.
3040	Glosa técnica (especificar detalhadamente).
3041	Aguardando documentação de ortodontia.
3042	Após análise da radiografia inicial verificou-se exodontia de incluso.
3043	Após análise da radiografia inicial verificou-se exodontia de semi-incluso.
3044	Após análise da radiografia inicial verificou-se exodontia simples.
3045	Após análise da radiografia inicial, verificou-se exodontia de fragmento radicular.
3046	Auditoria final consta que o procedimento foi realizado com outro material.
3047	Ausência de imagem/foto/radiografia/ diagnóstico pós-procedimento odontológico.
3048	Cancelamento do procedimento odontológico por solicitação do beneficiário.
3049	Cancelamento do procedimento odontológico por solicitação do prestador.
3050	Cobrança de urgência/emergência na vigência do tratamento odontológico.
3051	Documentação em análise.
3052	Documentação incompleta, incorreta ou ausente.
3053	Elementos podem ser visualizados em uma mesma película.
3054	Identificado conduto(s) não obturado(s).
3055	Identificado tratamento endodôntico e não retratamento.
3056	Na auditoria foi constatada divergência na quantidade de faces restauradas.
3057	Não apresenta a quantidade mínima de elementos dentários por segmento.
3058	Necessária auditoria final.
3059	Necessária auditoria inicial.
3060	Necessária auditoria intermediária.
3061	Necessária avaliação do especialista.
3062	Necessário enviar laudo ou relatório técnico sobre o tratamento solicitado.
3063	O plano de tratamento autorizado será cancelado devido à troca de profissional.
3064	Procedimento autorizado apenas para dentes tratados endodonticamente.
3065	Procedimento autorizado somente para dentes anteriores.
3066	Procedimento em desacordo com o anexo guia tratamento odontológico situação inicial.
3067	Radiografia final não enviada.
3068	Radiografia final sem dissociação dos condutos.
3069	Radiografia indica a necessidade de tratamento endodôntico.
3070	Radiografia indica a presença de raiz residual no alvéolo.
3071	Radiografia indica ausência de núcleo.
3072	Radiografia indica canal (ais) não obturado(s).
3073	Radiografia indica desvio da trajetória do canal.
3074	Radiografia indica excesso de material.
3075	Radiografia indica falha na obturação do(s) conduto(s).
3076	Radiografia indica falta de adaptação da coroa/núcleo.
3077	Radiografia indica falta de adaptação da coroa/peça protética.
3078	Radiografia indica núcleo inadequado.
3079	Radiografia indica tratamento endodôntico e não retratatamento endodôntico.
3080	Radiografia inicial e final não enviada.
3081	Radiografia inicial não enviada.
3082	Radiografia/imagem indica falha na restauração.
3083	Reavaliar o plano de tratamento observando critérios de indicação, oportunidade e viabilidade.
3084	Relatório analise técnica sem carimbo/assinatura do prestador.
3085	Radiografia não corresponde ao procedimento solicitado.
3086	Tratamento odontológico não caracterizado como urgência.
5001	Mensagem eletrônica fora do Padrão TISS.
5002	Não foi possível validar o arquivo XML.
5003	Endereço do remetente inválido.
5004	Endereço do destinatário inválido.
5005	Remetente não identificado.
5006	Destinatário não identificado.
5007	Mensagem inconsistente ou incompleta.
5008	Espaço reservado para a caixa de saída insuficiente.
5009	Espaço reservado para a caixa de entrada insuficiente.
5010	Envio de mensagem não foi terminado.
5011	Envio de mensagem finalizada.
5012	Recebimento de mensagem não finalizado.
5013	Recebimento de mensagem finalizada.
5014	Código HASH inválido. Mensagem pode estar corrompida.
5015	Número de guias/demonstrativos dentro da mensagem superior ao tamanho máximo permitido.
5016	Sem nenhuma ocorrência de movimento de inclusão na competência para envio a ANS.
5017	Arquivo processado pela ANS.
5018	Certificado digital inválido.
5019	Certificado digital vencido.
5020	Certificado digital revogado.
5021	Cadeia de certificação inválida.
5022	Assinatura digital não confere.
5023	Competência não está liberada para envio de dados.
5024	Operadora inativa na competência dos dados.
5025	Data de registro da transação inválida.
5026	Hora de registro da transação inválida.
5027	Registro ANS da operadora inválido.
5028	Versão do padrão inválida.
5029	Indicador inválido.
5030	Código do munícipio inválido.
5031	Caráter de atendimento inválido.
5032	Indicador de recém-nato inválido.
5033	Motivo de encerramento inválido.
5034	Valor não informado.
5035	Código da tabela de referência não informado.
5036	Código do grupo do procedimento inválido.
5037	Código do dente inválido.
5038	Código da região da boca inválido.
5039	Código da face do dente inválido.
5040	Valor deve ser maior que zero.
5041	Quantidade não informada.
5042	Valor informado da guia diferente do somatório do valor informado dos itens.
5043	Motivo inválido.
5044	Já existem informações na ANS para a competência informada.
5045	Competência anterior não enviada.
5046	Competência inválida.
